id,Название,Год,Рейтинг,Страна,Жанр,Режиссёр
5452393,Граф Монте-Кристо,2024,7.3,Франция,триллер,Александр де Ла Пательер
722951,Чудо,2017,7.3,США,драма,Стивен Чбоски
5502,Назад в будущее 2,1989,7.3,США,фантастика,Роберт Земекис
835086,Ford против Ferrari,2019,7.3,США,биография,Джеймс Мэнголд
5167,Эффект бабочки,2003,7.3,США,фантастика,Эрик Бресс
278522,Хоббит: Нежданное путешествие,2012,7.3,Новая Зеландия,фэнтези,Питер Джексон
350,Славные парни,1990,7.3,США,драма,Мартин Скорсезе
7466,Бронкская история,1993,7.3,США,драма,Роберт Де Ниро
635772,Игра в имитацию,2014,7.3,США,биография,Мортен Тильдум
44467,Гараж,1979,7.3,СССР,драма,Эльдар Рязанов
939411,Мотылёк,2017,7.3,США,драма,Михаэль Ноер
354799,Шерлок Холмс и доктор Ватсон: Смертельная схватка,1980,7.3,СССР,криминал,Игорь Масленников
336,Пролетая над гнездом кукушки,1975,7.3,США,драма,Милош Форман
647671,Охота,2012,7.3,Дания,драма,Томас Винтерберг
1142206,Пальма,2020,7.3,Россия,семейный,Александр Домогаров мл.
12198,Игра,1997,7.3,США,триллер,Дэвид Финчер
61237,Железный человек,2008,7.3,США,фантастика,Джон Фавро
382,Американская история X,1998,7.3,США,драма,Тони Кэй
351,Красота по-американски,1999,7.3,США,драма,Сэм Мендес
885317,Ученик чудовища,2015,7.3,Япония,аниме,Мамору Хосода
2717,Убить Билла,2003,7.3,США,боевик,Квентин Тарантино
413362,Миллионер из трущоб,2008,7.3,Великобритания,криминал,Дэнни Бойл
5928,Один дома 2: Затерянный в Нью-Йорке,1992,7.3,США,комедия,Крис Коламбус
45028,Курьер,1986,7.3,СССР,драма,Карен Шахназаров
46792,Три плюс два,1963,7.3,СССР,мелодрама,Генрих Оганисян
8366,Нечто,1982,7.3,США,ужасы,Джон Карпентер
102198,Иллюзионист,2005,7.3,США,драма,Нил Бёргер
45694,Вечера на хуторе близ Диканьки,1961,7.3,СССР,фэнтези,Александр Роу
838,Человек-паук,2002,7.3,США,фантастика,Сэм Рэйми
57004,Игрушка,1976,7.3,Франция,драма,Франсис Вебер
5089019,Роднина,2025,7.3,Россия,спорт,Константин Статский
910353,Выстрел в пустоту,2015,7.3,США,криминал,Рик Роман Во
44691,Калина красная,1973,7.3,СССР,драма,Василий Шукшин
94296,Освобождение: Огненная дуга,1968,7.3,СССР,драма,Юрий Озеров
5364887,Группа крови,2025,7.3,Россия,военный,Максим Бриус
89515,Гарри Поттер и Принц-полукровка,2009,7.3,Великобритания,фэнтези,Дэвид Йейтс
958722,Твоё имя,2016,7.3,Япония,аниме,Макото Синкай
395,Шестое чувство,1999,7.3,США,детектив,М. Найт Шьямалан
610,Билли Эллиот,2000,7.3,Великобритания,драма,Стивен Долдри
497,Римские каникулы,1953,7.3,США,драма,Уильям Уайлер
5492,Вечное сияние чистого разума,2004,7.3,США,мелодрама,Мишель Гондри
470553,Прислуга,2011,7.3,США,драма,Тейт Тейлор
507,Терминатор,1984,7.3,США,фантастика,Джеймс Кэмерон
354,Апокалипсис сегодня,1979,7.2,США,военный,Фрэнсис Форд Коппола
195434,Старикам тут не место,2007,7.2,США,триллер,Итан Коэн
468102,О чём говорят мужчины,2010,7.2,Россия,комедия,Дмитрий Дьяченко
442568,Воин,2011,7.2,США,драма,Гэвин О’Коннор
46089,Берегись автомобиля,1966,7.2,СССР,криминал,Эльдар Рязанов
104938,В погоне за счастьем,2006,7.2,США,драма,Габриэле Муччино
260162,Далласский клуб покупателей,2013,7.2,США,драма,Жан-Марк Валле
46285,На войне как на войне,1968,7.2,СССР,военный,Виктор Трегубович
348,Эта замечательная жизнь,1947,7.2,США,фэнтези,Фрэнк Капра
627,Изгой,2000,7.2,США,драма,Роберт Земекис
368937,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,1980,7.2,СССР,криминал,Игорь Масленников
222809,12,2007,7.2,Россия,триллер,Никита Михалков
1032308,Как прогулять школу с пользой,2017,7.2,Франция,драма,Николя Ванье
102124,Пираты Карибского моря: На краю света,2007,7.2,США,приключения,Гор Вербински
959365,Невидимый гость,2016,7.2,Испания,триллер,Ориол Паоло
694633,Хоббит: Битва пяти воинств,2014,7.2,Новая Зеландия,фэнтези,Питер Джексон
495518,Один день,2011,7.2,США,драма,Лоне Шерфиг
3793,Константин: Повелитель тьмы,2005,7.2,США,фэнтези,Фрэнсис Лоуренс
2494,Казино,1995,7.2,США,драма,Мартин Скорсезе
1091,Люди в чёрном,1997,7.2,США,фантастика,Барри Зонненфельд
46063,Белорусский вокзал,1970,7.2,СССР,драма,Андрей Смирнов
394,Бешеные псы,1991,7.2,США,криминал,Квентин Тарантино
880,Чего хотят женщины,2000,7.2,США,мелодрама,Нэнси Майерс
406,Чужие,1986,7.2,Великобритания,ужасы,Джеймс Кэмерон
1421591,Небо,2021,7.2,Россия,военный,Игорь Копылов
408876,Хоббит: Пустошь Смауга,2013,7.2,Новая Зеландия,фэнтези,Питер Джексон
1008113,Таксист,2017,7.2,Корея Южная,история,Чан Хун
455194,Пленницы,2013,7.2,США,триллер,Дени Вильнёв
494,Другие,2001,7.2,Испания,ужасы,Алехандро Аменабар
527,День сурка,1993,7.2,США,фэнтези,Харольд Рэмис
485261,Убойные каникулы,2010,7.2,Канада,комедия,Илай Крэйг
371,Спасти рядового Райана,1998,7.2,США,военный,Стивен Спилберг
44238,"Добро пожаловать, или Посторонним вход воспрещен",1964,7.2,СССР,комедия,Элем Климов
944098,"Три билборда на границе Эббинга, Миссури",2017,7.2,Великобритания,драма,Мартин Макдона
42799,Осенний марафон,1979,7.2,СССР,драма,Георгий Данелия
4540126,Дюна: Часть вторая,2024,7.2,США,фантастика,Дени Вильнёв
8224,Акира,1987,7.2,Япония,аниме,Кацухиро Отомо
281251,Мальчик в полосатой пижаме,2008,7.2,Великобритания,драма,Марк Херман
